ID,Development,Address,Years Built,Total Units,Contract expiration,Compliance End Year (LIHTC properties Only),New Georeferenced Column,Year Built Date (For Performance Measure),Total Units_1,Ownership Entity,Ownership Entity Contact Name,Ownership Entity Contact Email,Ownership Entity Contact Phone,Property Management Entity,Property Management Contact Name,Property Management Contact Email,Property Management Contact Phone,Type of Subsidy
26,Trinity Plaza Senior Apartments,"351 Macdonald Ave Richmond CA, 94806",2009,66,,2063,POINT (-122.36595 37.93572),01/01/2009 12:00:00 AM,66,Related California,,,,Related Property Management,Frank Cardone; Alicia Zhao,fcardone@related.com; gi.zhao@related.com,(510) 223-7001,Section 42 (LIHTC)
14,MiraFlores Senior,"150 South 45th Street, Richmond, CA, 94804",2019,80,,,POINT (-122.32722 37.93032),01/01/2019 12:00:00 AM,80,Monterey Venture LP,"Sydne Garchik, Renee Lee, Cathy Coler, Bryan Russell","sgarchik@mrkpartners.com, rlee@mrkpartners.com, ccoler@mrkpartners.com, brussell@mrkpartners.com","(301) 461-1769 (cell), (424) 999-4586 (office) (802) 734-3892 (cell)",Apartment Management Consultants,Shanell (spelling?),mpimgr@amcllc.net,(510) 215-1926,Tenants with a HCV (tenant based Section 8)
27,VUE @ 3600 (formerly Summit at Hilltop),"3600 Sierra Ridge Ave Richmond, CA 94806",1990,96,,,POINT (-122.32068 37.98662),01/01/1990 12:00:00 AM,96,US Reif Sierra Ridge Road,,,,Greystar Property Management,"Ahshalic Johnson, Craig Ofstad","vueat3600mgr@greystar.com, cofstad@greystar.com","Cell: (818) 480-0868 Office: (916) 742-5806, 925-401-3503",Below Market Rate Units
6,Chesley Mutual Housing,"802 Chesley Ave. Richmond CA, 94801",2008,30,,2059,POINT (-122.36119 37.95475),01/01/2008 12:00:00 AM,30,Crescent Park EAH,"Catina Wilson (Advocacy Manager), Diane Luther, Michael Farrel","catina.wilson@eahhousing.org, diane.luther@eahhousing.org, michael.farrel@eahhousing.org",(415) 295-8862,EAH Housing,"Heather Esmond, Luisa Stokes","Heather.Esmond@eahhousing.org, Luisa.Stokes@eahhousing.org","510.692.4714, 510.692.4716",Section 42 (LIHTC)
4,Baycliff Apartments,"2300 Lancaster Dr., Richmond CA 94806",1977,342,,2059,POINT (-122.34211 37.97336),01/01/1977 12:00:00 AM,342,FF Hills LP (Fairfield Residential),"Kim Bender, London Malmstadt (Regional Supervisor)","kbender@ffres.com, lmalmstadt@ffres.com",(858) 457-5789 Ext. 5588,Fairfield Residential,"Claire Shaw, Regional Supervisor of Property Management, Miranda Harris, Onsite Property Manager","cshaw@ffres.com, mharris2@ffres.com","(858) 824-6477, (510) 938-9972 (cell); (510) 222-2306 (office)",Section 42 (LIHTC)
20,Richmond Village (formerly Easter Hill),"701 S 26th St. Richmond, CA 94804",2004,241,,2060 & 2061,POINT (-122.34479 37.92377),01/01/2004 12:00:00 AM,241,Rubicon Program Incorporated,Kelly Dunn,kdunn@rubiconprograms.org,,Jane Fischberg,,,,Section 42 (LIHTC)
9,Friendship Manor,"565 Stege Avenue, Richmond CA, 94804",1972,57,,,POINT (-122.33572 37.92439),01/01/1972 12:00:00 AM,57,"Pacific West Communities, Inc.",,,,Lori Dashiell,,harbourview@apertopm.com,(510) 965-9347,Public Housing Units Owned by RHA
18,Pullman Point (formerly Richmond Townhouses),"2990 Pullman Ave, Richmond, CA 94804",1973,199,,2058,POINT (-122.33984 37.92843),01/01/1973 12:00:00 AM,199,BRIDGE Housing,"Butu Newsome, Joanna Yong (Vice President of Compliance)","bmalone@bridgehousing.com, jyong@bridgehousing.com, amreporting@bridgehousing.com",(415) 321-3584,,,,,Section 42 (LIHTC)
8,Cypress Pines (formerly Deliverance Temple),"4313 Portrero Ave, Richmond CA, 94804",1974,82,,2070,POINT (-122.32866 37.9213),01/01/1974 12:00:00 AM,82,RHA RAD Conversion/John Stewart Company,"Jack Gardner (President), Steve McElroy (Vice President), Falisha Walls (Regional Mgr)","jgardner@jsco.net, smcelroy@jsco.net, fwalls@jsco.net","(415) 345-4400, Direct line: 415-345-4445 / cell - 916 709 0210",John Stewart Company,LaShanna Bragg (Supervisor is Falisha Walls 415-345-4400),friendship2@jsco.net,(510) 680-5446,Section 42 (LIHTC)
25,Triangle Court,"981 Triangle Court, Richmond CA 94801",1988,98,,,POINT (-122.36155 37.94794),01/01/1988 12:00:00 AM,98,RHA RAD Conversion,Falisha Walls (Regional Mgr),fwalls@jsco.net,415 345-4400,John Stewart Company,LaShanna Bragg (Supervisor is Falisha Walls 415-345-4400),jscosf@jsco.net; trianglerha@jsco.net,(510) 680-5446,Public Housing Units Owned by RHA
17,Nystrom Village,"222 Marina Way South, Richmond CA 94804",1920,102,,,POINT (-122.35586 37.92908),01/01/1920 12:00:00 AM,102,John Stewart Company,"Jack Gardner (President), Steve McElroy (Vice President), Falisha Walls (Regional Mgr)","jgardner@jsco.net, smcelroy@jsco.net, fwalls@jsco.net","(415) 345-4400, Direct line: 415-345-4445 / cell - 916 709 0210",Pullman Point,Zelda Angele,pullman@jsco.net,Cell: (510) 693-9089; Main Office: (510) 235-5689 Security: (510) 768-8173; Site Main: (510) 260-9771,Public Housing Units Owned by RHA
15,Monterey Pines Apartments,"681 S. 37th St. Richmond CA, 94804",1971,324,,2070,POINT (-122.33429 37.92292),01/01/1971 12:00:00 AM,324,Richmond Housing Authority,"Nanette Beacham, Exec Director",NBeacham@rhaca.org,(510) 620-6606,Richmond Housing Authority,Gabino Arredondo (Acting ED),gabino_arredondo@ci.richmond.ca.us,(510) 620-6606,Section 42 (LIHTC)
7,Crescent Park,"5000 Harnett Ave. Richmond CA, 94804",1968,378,,2062,POINT (-122.32446 37.9163),01/01/1968 12:00:00 AM,378,DT Venture LP,"Sydne Garchik, Renee Lee, Cathy Coler, Bryan Russell","sgarchik@mrkpartners.com, rlee@mrkpartners.com, ccoler@mrkpartners.com, brussell@mrkpartners.com","(301) 461-1769 (cell), (424) 999-4586 (office), (802) 734-3892 (cell)",WinnCompanies,Tina Coyer,tcoyer@winnco.com,"(619) 961-6187, (559) 489-9951",Section 42 (LIHTC)
22,St. Johns Apartments,"122 W. Macdonald Ave, Richmond CA 94801",1990,158,,2068,POINT (-122.37035 37.9357),01/01/1990 12:00:00 AM,158,BRIDGE Housing,Marcela Escoto,mescoto@bridgehousing.com,,BRIDGE Housing,Marcela Escoto,mescoto@bridgehousing.com,,Section 42 (LIHTC)
19,Richmond City Center Apartments,"1001 Macdonald Ave, Richmond CA 94801",1994,64,,2067,POINT (-122.35982 37.93571),01/01/1994 12:00:00 AM,64,"McCormack, Baron & Salazar","LaShona McGrew, Robyn Wilhite","lashona.mcgrew@mccormackbaron.com, robyn.wilhite@mccormackbaron.com",(314) 425-0704,"McCormack, Baron & Salazar",Jennifer Wood,jwood@jsco.net,(415) 345-4400,Section 42 (LIHTC)
11,Heritage Park at Hilltop,"3813 Lakeside Drive, Richmond CA 94806",2000,192,,2054,POINT (-122.33205 37.98355),01/01/2000 12:00:00 AM,192,EBALDC,,,,Annette Howard,,ahoward@ebaldc.org,,Section 42 (LIHTC)
10,Harborview Senior Apartments,"26 Harbour Way, Richmond CA, 94801",2016,62,,2068,POINT (-122.36002 37.93177),01/01/2016 12:00:00 AM,62,Hilltop Group,Angie Monges,amonges@usapropfund.com,,Denisha Carter,,heritagehilltop@usapropfund.com,(510) 262-9482,Section 42 (LIHTC)
28,Westridge Apartments,"2491 Lancaster Dr. Richmond CA, 94806",1973,401,,2069,POINT (-122.33918 37.97422),01/01/1973 12:00:00 AM,401,Klein Financial Corporation,Alan Bogomilsky,alan@klein-financial.com,,Greystar Property Management,Cortland Grissom,cortland.grissom@greystar.com,510-222-2730,Section 42 (LIHTC)
